timestamp,event_type,ip_address,user_agent,referrer,page,filename,file_type,result_type,confidence
2025-07-02T22:16:20.276746,analysis_completed,172.31.128.87,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",https://88202e86-1112-4eb8-8db4-57aeb2268c44-00-21gdf9p048c5i.spock.replit.dev/,,"ChatGPT Image Jul 2, 2025, 03_35_34 AM.png",image,likely_ai,0.9990338087081909
2025-07-02T22:16:38.663393,page_visit,172.31.128.87,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",https://88202e86-1112-4eb8-8db4-57aeb2268c44-00-21gdf9p048c5i.spock.replit.dev/__replco/workspace_iframe.html?initialPath=%2F&id=%3Ar126%3A,home,,,,
2025-07-02T22:16:38.780854,page_visit,172.31.128.87,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",https://88202e86-1112-4eb8-8db4-57aeb2268c44-00-21gdf9p048c5i.spock.replit.dev/__replco/workspace_iframe.html?initialPath=%2F&id=%3Ar12i%3A,home,,,,
2025-07-02T22:19:06.567710,page_visit,172.31.128.87,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",,home,,,,
2025-07-02T22:20:14.917750,analysis_completed,172.31.128.87,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",https://88202e86-1112-4eb8-8db4-57aeb2268c44-00-21gdf9p048c5i.spock.replit.dev/,,WhatsApp Image 2025-07-02 at 06.31.03 (1).jpeg,image,unsure,0.5663384615331448
2025-07-02T22:24:44.929275,page_visit,172.31.128.87,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",https://88202e86-1112-4eb8-8db4-57aeb2268c44-00-21gdf9p048c5i.spock.replit.dev/__replco/workspace_iframe.html?initialPath=%2F&id=%3Ar12i%3A,home,,,,
2025-07-02T22:25:02.624823,page_visit,172.31.128.87,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",https://replit.com/,home,,,,
2025-07-02T22:25:06.183938,analysis_completed,172.31.128.87,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",https://88202e86-1112-4eb8-8db4-57aeb2268c44-00-21gdf9p048c5i.spock.replit.dev/,,"ChatGPT Image Jul 2, 2025, 03_35_34 AM.png",image,likely_ai,0.9990338087081909
2025-07-02T22:30:13.481009,page_visit,172.31.128.87,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",https://88202e86-1112-4eb8-8db4-57aeb2268c44-00-21gdf9p048c5i.spock.replit.dev/__replco/workspace_iframe.html?initialPath=%2F&id=%3Ar17n%3A,home,,,,
2025-07-02T22:30:13.572269,page_visit,172.31.128.87,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",https://88202e86-1112-4eb8-8db4-57aeb2268c44-00-21gdf9p048c5i.spock.replit.dev/__replco/workspace_iframe.html?initialPath=%2F&id=%3Ar183%3A,home,,,,
2025-07-02T22:30:35.645296,analysis_completed,172.31.128.87,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",https://88202e86-1112-4eb8-8db4-57aeb2268c44-00-21gdf9p048c5i.spock.replit.dev/,,WhatsApp Image 2025-07-02 at 06.31.03 (1).jpeg,image,unsure,0.5663384615331448
2025-07-02T22:30:57.177501,analysis_completed,172.31.128.87,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",https://88202e86-1112-4eb8-8db4-57aeb2268c44-00-21gdf9p048c5i.spock.replit.dev/,,WhatsApp Image 2025-07-02 at 06.31.03.jpeg,image,likely_ai,0.9999170358059928
2025-07-02T22:31:12.151639,page_visit,172.31.128.87,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/137.0.7151.107 Mobile/15E148 Safari/604.1",,home,,,,
2025-07-02T22:31:45.616476,analysis_completed,172.31.128.87,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/137.0.7151.107 Mobile/15E148 Safari/604.1",https://88202e86-1112-4eb8-8db4-57aeb2268c44-00-21gdf9p048c5i.spock.replit.dev/,,IMG_2839.png,image,likely_human,0.23421071107188857
2025-07-02T22:32:11.701327,page_visit,172.31.128.87,WhatsApp/2.23.20.0,,home,,,,
